Geography ID, Name,County,Tribal Areas,Avg. Energy Burden (% income)
42101010600,Census Tract 106,Philadelphia County,,7
42101010700,Census Tract 107,Philadelphia County,,7
42101010800,Census Tract 108,Philadelphia County,,7
42101010900,Census Tract 109,Philadelphia County,,6
42101001101,Census Tract 11.01,Philadelphia County,,1
42101001102,Census Tract 11.02,Philadelphia County,,1
42101014000,Census Tract 140,Philadelphia County,,5
42101014300,Census Tract 143,Philadelphia County,,2
42101014500,Census Tract 145,Philadelphia County,,5
42101014600,Census Tract 146,Philadelphia County,,4
42101017201,Census Tract 172.01,Philadelphia County,,5
42101017702,Census Tract 177.02,Philadelphia County,,9
42101018800,Census Tract 188,Philadelphia County,,7
42101019501,Census Tract 195.01,Philadelphia County,,8
42101019502,Census Tract 195.02,Philadelphia County,,6
42101020102,Census Tract 201.02,Philadelphia County,,5
42101002000,Census Tract 20,Philadelphia County,,4
42101021800,Census Tract 218,Philadelphia County,,2
42101023800,Census Tract 238,Philadelphia County,,3
42101024800,Census Tract 248,Philadelphia County,,4
42101026600,Census Tract 266,Philadelphia County,,5
42101026700,Census Tract 267,Philadelphia County,,5
42101026800,Census Tract 268,Philadelphia County,,4
42101026900,Census Tract 269,Philadelphia County,,3
42101027100,Census Tract 271,Philadelphia County,,4
42101027200,Census Tract 272,Philadelphia County,,4
42101027300,Census Tract 273,Philadelphia County,,4
42101027402,Census Tract 274.02,Philadelphia County,,5
42101028100,Census Tract 281,Philadelphia County,,5
42101028902,Census Tract 289.02,Philadelphia County,,6
42101031101,Census Tract 311.01,Philadelphia County,,5
42101031102,Census Tract 311.02,Philadelphia County,,4
42101031200,Census Tract 312,Philadelphia County,,4
42101031501,Census Tract 315.01,Philadelphia County,,4
42101033101,Census Tract 331.01,Philadelphia County,,4
42101033102,Census Tract 331.02,Philadelphia County,,4
42101033500,Census Tract 335,Philadelphia County,,4
42101033701,Census Tract 337.01,Philadelphia County,,4
42101033702,Census Tract 337.02,Philadelphia County,,4
42101034501,Census Tract 345.01,Philadelphia County,,3
42101034803,Census Tract 348.03,Philadelphia County,,3
42101035302,Census Tract 353.02,Philadelphia County,,3
42101035701,Census Tract 357.01,Philadelphia County,,3
42101035702,Census Tract 357.02,Philadelphia County,,4
42101036501,Census Tract 365.01,Philadelphia County,,3
42101036502,Census Tract 365.02,Philadelphia County,,2
42101036700,Census Tract 367,Philadelphia County,,1
42101037600,Census Tract 376,Philadelphia County,,1
42101037700,Census Tract 377,Philadelphia County,,8
42101037800,Census Tract 378,Philadelphia County,,3
42101000401,Census Tract 4.01,Philadelphia County,,1
42101005400,Census Tract 54,Philadelphia County,,3
42101005500,Census Tract 55,Philadelphia County,,4
42101005600,Census Tract 56,Philadelphia County,,5
42101000500,Census Tract 5,Philadelphia County,,1
42101006000,Census Tract 60,Philadelphia County,,5
42101006100,Census Tract 61,Philadelphia County,,6
42101006300,Census Tract 63,Philadelphia County,,8
42101006400,Census Tract 64,Philadelphia County,,7
42101007700,Census Tract 77,Philadelphia County,,3
42101000700,Census Tract 7,Philadelphia County,,1
42101000801,Census Tract 8.01,Philadelphia County,,1
42101000803,Census Tract 8.03,Philadelphia County,,1
42101000901,Census Tract 9.01,Philadelphia County,,2
42101008601,Census Tract 86.01,Philadelphia County,,2
42101980000,Census Tract 9800,Philadelphia County,,2
42101011700,Census Tract 117,Philadelphia County,,3
42101013200,Census Tract 132,Philadelphia County,,4
42101001400,Census Tract 14,Philadelphia County,,1
42101015101,Census Tract 151.01,Philadelphia County,,8
42101015102,Census Tract 151.02,Philadelphia County,,8
42101016902,Census Tract 169.02,Philadelphia County,,9
42101027000,Census Tract 270,Philadelphia County,,3
42101028800,Census Tract 288,Philadelphia County,,6
42101035602,Census Tract 356.02,Philadelphia County,,2
42101004201,Census Tract 42.01,Philadelphia County,,3
42101001002,Census Tract 10.02,Philadelphia County,,1
42101011000,Census Tract 110,Philadelphia County,,7
42101011100,Census Tract 111,Philadelphia County,,7
42101011300,Census Tract 113,Philadelphia County,,8
42101011400,Census Tract 114,Philadelphia County,,4
42101011500,Census Tract 115,Philadelphia County,,4
42101011800,Census Tract 118,Philadelphia County,,5
42101011900,Census Tract 119,Philadelphia County,,5
42101012000,Census Tract 120,Philadelphia County,,3
42101012100,Census Tract 121,Philadelphia County,,3
42101012201,Census Tract 122.01,Philadelphia County,,3
42101012500,Census Tract 125,Philadelphia County,,1
42101013100,Census Tract 131,Philadelphia County,,2
42101013401,Census Tract 134.01,Philadelphia County,,1
42101013500,Census Tract 135,Philadelphia County,,2
42101013700,Census Tract 137,Philadelphia County,,3
42101013800,Census Tract 138,Philadelphia County,,5
42101013900,Census Tract 139,Philadelphia County,,6
42101014100,Census Tract 141,Philadelphia County,,3
42101014200,Census Tract 142,Philadelphia County,,1
42101018001,Census Tract 180.01,Philadelphia County,,3
42101018002,Census Tract 180.02,Philadelphia County,,4
42101027600,Census Tract 276,Philadelphia County,,5
42101027700,Census Tract 277,Philadelphia County,,6
42101027800,Census Tract 278,Philadelphia County,,5
42101002801,Census Tract 28.01,Philadelphia County,,3
42101028000,Census Tract 280,Philadelphia County,,6
42101028200,Census Tract 282,Philadelphia County,,5
42101028400,Census Tract 284,Philadelphia County,,5
42101028500,Census Tract 285,Philadelphia County,,6
42101028600,Census Tract 286,Philadelphia County,,7
42101028700,Census Tract 287,Philadelphia County,,6
42101029000,Census Tract 290,Philadelphia County,,5
42101029300,Census Tract 293,Philadelphia County,,6
42101029400,Census Tract 294,Philadelphia County,,9
42101029800,Census Tract 298,Philadelphia County,,6
42101029900,Census Tract 299,Philadelphia County,,7
42101003002,Census Tract 30.02,Philadelphia County,,3
42101030100,Census Tract 301,Philadelphia County,,5
42101030200,Census Tract 302,Philadelphia County,,3
42101030502,Census Tract 305.02,Philadelphia County,,4
42101030600,Census Tract 306,Philadelphia County,,3
42101030700,Census Tract 307,Philadelphia County,,3
42101030800,Census Tract 308,Philadelphia County,,4
42101030900,Census Tract 309,Philadelphia County,,4
42101031000,Census Tract 310,Philadelphia County,,4
42101031300,Census Tract 313,Philadelphia County,,5
42101031401,Census Tract 314.01,Philadelphia County,,5
42101031502,Census Tract 315.02,Philadelphia County,,5
42101031600,Census Tract 316,Philadelphia County,,4
42101031700,Census Tract 317,Philadelphia County,,4
42101031800,Census Tract 318,Philadelphia County,,4
42101032000,Census Tract 320,Philadelphia County,,4
42101032100,Census Tract 321,Philadelphia County,,5
42101032500,Census Tract 325,Philadelphia County,,4
42101032600,Census Tract 326,Philadelphia County,,4
42101036201,Census Tract 362.01,Philadelphia County,,3
42101036202,Census Tract 362.02,Philadelphia County,,3
42101036203,Census Tract 362.03,Philadelphia County,,2
42101036301,Census Tract 363.01,Philadelphia County,,3
42101036302,Census Tract 363.02,Philadelphia County,,3
42101036303,Census Tract 363.03,Philadelphia County,,3
42101036400,Census Tract 364,Philadelphia County,,2
42101007101,Census Tract 71.01,Philadelphia County,,9
42101032900,Census Tract 329,Philadelphia County,,5
42101033000,Census Tract 330,Philadelphia County,,5
42101033300,Census Tract 333,Philadelphia County,,3
42101033400,Census Tract 334,Philadelphia County,,3
42101033800,Census Tract 338,Philadelphia County,,4
42101033900,Census Tract 339,Philadelphia County,,3
42101034000,Census Tract 340,Philadelphia County,,3
42101034100,Census Tract 341,Philadelphia County,,3
42101034200,Census Tract 342,Philadelphia County,,3
42101034400,Census Tract 344,Philadelphia County,,2
42101034600,Census Tract 346,Philadelphia County,,3
42101034701,Census Tract 347.01,Philadelphia County,,3
42101037500,Census Tract 375,Philadelphia County,,2
42101008602,Census Tract 86.02,Philadelphia County,,3
42101009801,Census Tract 98.01,Philadelphia County,,4
42101009802,Census Tract 98.02,Philadelphia County,,4
42101010000,Census Tract 100,Philadelphia County,,5
42101010100,Census Tract 101,Philadelphia County,,5
42101010200,Census Tract 102,Philadelphia County,,8
42101010300,Census Tract 103,Philadelphia County,,7
42101010400,Census Tract 104,Philadelphia County,,8
42101010500,Census Tract 105,Philadelphia County,,6
42101011200,Census Tract 112,Philadelphia County,,7
42101001201,Census Tract 12.01,Philadelphia County,,1
42101001202,Census Tract 12.02,Philadelphia County,,1
42101012203,Census Tract 122.03,Philadelphia County,,3
42101012204,Census Tract 122.04,Philadelphia County,,3
42101013602,Census Tract 136.02,Philadelphia County,,2
42101001300,Census Tract 13,Philadelphia County,,1
42101015300,Census Tract 153,Philadelphia County,,8
42101001500,Census Tract 15,Philadelphia County,,1
42101001600,Census Tract 16,Philadelphia County,,1
42101001700,Census Tract 17,Philadelphia County,,1
42101001800,Census Tract 18,Philadelphia County,,1
42101001900,Census Tract 19,Philadelphia County,,1
42101002100,Census Tract 21,Philadelphia County,,3
42101002200,Census Tract 22,Philadelphia County,,2
42101002300,Census Tract 23,Philadelphia County,,2
42101002400,Census Tract 24,Philadelphia County,,2
42101025300,Census Tract 253,Philadelphia County,,5
42101002500,Census Tract 25,Philadelphia County,,2
42101026000,Census Tract 260,Philadelphia County,,4
42101002702,Census Tract 27.02,Philadelphia County,,2
42101027500,Census Tract 275,Philadelphia County,,5
42101028300,Census Tract 283,Philadelphia County,,6
42101002900,Census Tract 29,Philadelphia County,,3
42101031900,Census Tract 319,Philadelphia County,,4
42101003100,Census Tract 31,Philadelphia County,,3
42101032300,Census Tract 323,Philadelphia County,,5
42101003200,Census Tract 32,Philadelphia County,,5
42101003300,Census Tract 33,Philadelphia County,,4
42101034502,Census Tract 345.02,Philadelphia County,,3
42101035301,Census Tract 353.01,Philadelphia County,,3
42101036000,Census Tract 360,Philadelphia County,,3
42101036100,Census Tract 361,Philadelphia County,,3
42101003600,Census Tract 36,Philadelphia County,,5
42101003701,Census Tract 37.01,Philadelphia County,,5
42101003702,Census Tract 37.02,Philadelphia County,,4
42101003800,Census Tract 38,Philadelphia County,,3
42101003901,Census Tract 39.01,Philadelphia County,,3
42101003902,Census Tract 39.02,Philadelphia County,,3
42101004001,Census Tract 40.01,Philadelphia County,,3
42101004002,Census Tract 40.02,Philadelphia County,,3
42101004101,Census Tract 41.01,Philadelphia County,,4
42101004102,Census Tract 41.02,Philadelphia County,,5
42101006200,Census Tract 62,Philadelphia County,,6
42101006500,Census Tract 65,Philadelphia County,,6
42101006600,Census Tract 66,Philadelphia County,,8
42101006700,Census Tract 67,Philadelphia County,,6
42101006900,Census Tract 69,Philadelphia County,,8
42101000600,Census Tract 6,Philadelphia County,,1
42101007200,Census Tract 72,Philadelphia County,,7
42101007300,Census Tract 73,Philadelphia County,,7
42101007400,Census Tract 74,Philadelphia County,,6
42101007800,Census Tract 78,Philadelphia County,,3
42101007900,Census Tract 79,Philadelphia County,,3
42101000804,Census Tract 8.04,Philadelphia County,,1
42101008000,Census Tract 80,Philadelphia County,,4
42101008200,Census Tract 82,Philadelphia County,,5
42101008301,Census Tract 83.01,Philadelphia County,,6
42101008302,Census Tract 83.02,Philadelphia County,,7
42101008400,Census Tract 84,Philadelphia County,,6
42101008500,Census Tract 85,Philadelphia County,,7
42101000902,Census Tract 9.02,Philadelphia County,,1
42101009000,Census Tract 90,Philadelphia County,,4
42101009200,Census Tract 92,Philadelphia County,,6
42101009300,Census Tract 93,Philadelphia County,,7
42101009400,Census Tract 94,Philadelphia County,,8
42101009500,Census Tract 95,Philadelphia County,,7
42101009600,Census Tract 96,Philadelphia County,,7
42101001001,Census Tract 10.01,Philadelphia County,,1
42101013402,Census Tract 134.02,Philadelphia County,,1
42101013601,Census Tract 136.01,Philadelphia County,,1
42101017602,Census Tract 176.02,Philadelphia County,,8
42101017701,Census Tract 177.01,Philadelphia County,,9
42101017800,Census Tract 178,Philadelphia County,,8
42101017900,Census Tract 179,Philadelphia County,,6
42101000100,Census Tract 1,Philadelphia County,,1
42101024400,Census Tract 244,Philadelphia County,,6
42101025500,Census Tract 255,Philadelphia County,,3
42101025600,Census Tract 256,Philadelphia County,,2
42101025700,Census Tract 257,Philadelphia County,,2
42101025800,Census Tract 258,Philadelphia County,,4
42101025900,Census Tract 259,Philadelphia County,,3
42101026301,Census Tract 263.01,Philadelphia County,,5
42101029200,Census Tract 292,Philadelphia County,,4
42101000200,Census Tract 2,Philadelphia County,,2
42101033200,Census Tract 332,Philadelphia County,,3
42101035601,Census Tract 356.01,Philadelphia County,,3
42101036900,Census Tract 369,Philadelphia County,,1
42101037200,Census Tract 372,Philadelphia County,,3
42101037300,Census Tract 373,Philadelphia County,,2
42101038400,Census Tract 384,Philadelphia County,,2
42101038500,Census Tract 385,Philadelphia County,,2
42101038600,Census Tract 386,Philadelphia County,,2
42101000300,Census Tract 3,Philadelphia County,,1
42101000402,Census Tract 4.02,Philadelphia County,,1
42101015200,Census Tract 152,Philadelphia County,,8
42101008801,Census Tract 88.01,Philadelphia County,,2
42101018300,Census Tract 183,Philadelphia County,,3
42101018400,Census Tract 184,Philadelphia County,,4
42101019000,Census Tract 190,Philadelphia County,,5
42101019100,Census Tract 191,Philadelphia County,,5
42101019200,Census Tract 192,Philadelphia County,,7
42101019700,Census Tract 197,Philadelphia County,,7
42101019800,Census Tract 198,Philadelphia County,,6
42101019900,Census Tract 199,Philadelphia County,,10
42101020000,Census Tract 200,Philadelphia County,,9
42101020200,Census Tract 202,Philadelphia County,,9
42101020300,Census Tract 203,Philadelphia County,,7
42101020400,Census Tract 204,Philadelphia County,,6
42101020500,Census Tract 205,Philadelphia County,,7
42101020600,Census Tract 206,Philadelphia County,,3
42101020700,Census Tract 207,Philadelphia County,,2
42101020800,Census Tract 208,Philadelphia County,,2
42101037900,Census Tract 379,Philadelphia County,,3
42101038000,Census Tract 380,Philadelphia County,,5
42101038100,Census Tract 381,Philadelphia County,,6
42101038200,Census Tract 382,Philadelphia County,,5
42101038300,Census Tract 383,Philadelphia County,,7
42101038700,Census Tract 387,Philadelphia County,,2
42101038800,Census Tract 388,Philadelphia County,,2
42101038900,Census Tract 389,Philadelphia County,,4
42101039000,Census Tract 390,Philadelphia County,,5
42101980200,Census Tract 9802,Philadelphia County,,2
42101013300,Census Tract 133,Philadelphia County,,1
42101014700,Census Tract 147,Philadelphia County,,9
42101014800,Census Tract 148,Philadelphia County,,7
42101014900,Census Tract 149,Philadelphia County,,8
42101015600,Census Tract 156,Philadelphia County,,6
42101015700,Census Tract 157,Philadelphia County,,4
42101015800,Census Tract 158,Philadelphia County,,2
42101016000,Census Tract 160,Philadelphia County,,3
42101016100,Census Tract 161,Philadelphia County,,3
42101016200,Census Tract 162,Philadelphia County,,6
42101016300,Census Tract 163,Philadelphia County,,8
42101016400,Census Tract 164,Philadelphia County,,7
42101016500,Census Tract 165,Philadelphia County,,10
42101016600,Census Tract 166,Philadelphia County,,7
42101016702,Census Tract 167.02,Philadelphia County,,10
42101016800,Census Tract 168,Philadelphia County,,9
42101016901,Census Tract 169.01,Philadelphia County,,8
42101017000,Census Tract 170,Philadelphia County,,3
42101017100,Census Tract 171,Philadelphia County,,6
42101017202,Census Tract 172.02,Philadelphia County,,9
42101017300,Census Tract 173,Philadelphia County,,7
42101017400,Census Tract 174,Philadelphia County,,8
42101017500,Census Tract 175,Philadelphia County,,7
42101017601,Census Tract 176.01,Philadelphia County,,8
42101020101,Census Tract 201.01,Philadelphia County,,10
42101020900,Census Tract 209,Philadelphia County,,2
42101021000,Census Tract 210,Philadelphia County,,2
42101021100,Census Tract 211,Philadelphia County,,3
42101021200,Census Tract 212,Philadelphia County,,3
42101021300,Census Tract 213,Philadelphia County,,3
42101021400,Census Tract 214,Philadelphia County,,3
42101021500,Census Tract 215,Philadelphia County,,2
42101021600,Census Tract 216,Philadelphia County,,2
42101021700,Census Tract 217,Philadelphia County,,2
42101021900,Census Tract 219,Philadelphia County,,3
42101022000,Census Tract 220,Philadelphia County,,2
42101023100,Census Tract 231,Philadelphia County,,2
42101023500,Census Tract 235,Philadelphia County,,2
42101023600,Census Tract 236,Philadelphia County,,2
42101023700,Census Tract 237,Philadelphia County,,2
42101023900,Census Tract 239,Philadelphia County,,3
42101024000,Census Tract 240,Philadelphia County,,3
42101024100,Census Tract 241,Philadelphia County,,4
42101024200,Census Tract 242,Philadelphia County,,5
42101024300,Census Tract 243,Philadelphia County,,5
42101024500,Census Tract 245,Philadelphia County,,6
42101024600,Census Tract 246,Philadelphia County,,9
42101024700,Census Tract 247,Philadelphia County,,7
42101024900,Census Tract 249,Philadelphia County,,8
42101025200,Census Tract 252,Philadelphia County,,5
42101025400,Census Tract 254,Philadelphia County,,3
42101026100,Census Tract 261,Philadelphia County,,4
42101026200,Census Tract 262,Philadelphia County,,4
42101026302,Census Tract 263.02,Philadelphia County,,5
42101026400,Census Tract 264,Philadelphia County,,5
42101026500,Census Tract 265,Philadelphia County,,5
42101027401,Census Tract 274.01,Philadelphia County,,6
42101028901,Census Tract 289.01,Philadelphia County,,6
42101029100,Census Tract 291,Philadelphia County,,5
42101030000,Census Tract 300,Philadelphia County,,6
42101030501,Census Tract 305.01,Philadelphia County,,5
42101033600,Census Tract 336,Philadelphia County,,4
42101004202,Census Tract 42.02,Philadelphia County,,4
42101007000,Census Tract 70,Philadelphia County,,7
42101008802,Census Tract 88.02,Philadelphia County,,4
42101009100,Census Tract 91,Philadelphia County,,3
42101014400,Census Tract 144,Philadelphia County,,3
42101016701,Census Tract 167.01,Philadelphia County,,8
42101002701,Census Tract 27.01,Philadelphia County,,3
42101027901,Census Tract 279.01,Philadelphia County,,5
42101027902,Census Tract 279.02,Philadelphia County,,6
42101002802,Census Tract 28.02,Philadelphia County,,2
42101003001,Census Tract 30.01,Philadelphia County,,3
42101031402,Census Tract 314.02,Philadelphia County,,5
42101036600,Census Tract 366,Philadelphia County,,1
42101034702,Census Tract 347.02,Philadelphia County,,2
42101034801,Census Tract 348.01,Philadelphia County,,3
42101034802,Census Tract 348.02,Philadelphia County,,3
42101034900,Census Tract 349,Philadelphia County,,3
42101035100,Census Tract 351,Philadelphia County,,2
42101035200,Census Tract 352,Philadelphia County,,3
42101035500,Census Tract 355,Philadelphia County,,3
42101035800,Census Tract 358,Philadelphia County,,3
42101035900,Census Tract 359,Philadelphia County,,3
42101007102,Census Tract 71.02,Philadelphia County,,7
42101008101,Census Tract 81.01,Philadelphia County,,7
42101008102,Census Tract 81.02,Philadelphia County,,8
42101008701,Census Tract 87.01,Philadelphia County,,3
42101008702,Census Tract 87.02,Philadelphia County,,2
42101980100,Census Tract 9801,Philadelphia County,,1
